ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"3569057";"Zona canina";"213";"CASCO HISTORICO DE BARAJAS";"21";"BARAJAS";"OPERATIVO";"450772.813";"4479927.355";"ETRS89";40.46856499;-3.58068987;"AVENIDA";"LOGROÑO";"98";"28042";;"20174936";"2013-08-01 00:00:00.0";"C2172";"AE21";"CANINAS";0
"3569403";"Zona canina";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"444483.832";"4476223.518";"ETRS89";40.43480246;-3.65454729;"CALLE";"VIRGEN DE NURIA";"2";"28027";"CALLE VIRGEN DE LLUC";"31042148";"2004-01-01 00:00:00.0";"C1575";"AE21";"CANINAS";21
"3569404";"Zona canina";"153";"QUINTANA";"15";"CIUDAD LINEAL";"OPERATIVO";"444732.002";"4476266.462";"ETRS89";40.43520585;-3.65162523;"CALLE";"VIRGEN DE LLUC";"44";"28027";"CALLE DE JOSE DEL HIERRO";"11109351";"2004-01-01 00:00:00.0";"C1573";"AE21";"CANINAS";16
"3570066";"Zona canina";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"445332.612";"4477263.43";"ETRS89";40.44422678;-3.64463008;"CALLE";"ARTURO SORIA";"55";"28027";;"11110567";"2004-01-01 00:00:00.0";"C1576";"AE21";"CANINAS";0
"3570067";"Zona canina";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"446684.138";"4474768.91";"ETRS89";40.42184245;-3.62848474;"CALLE";"PEPE ISBERT";"11";"28017";;"20121338";"2004-01-01 00:00:00.0";"C1578";"AE21";"CANINAS";0
"3570069";"Zona canina";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"446191.249";"4474798.864";"ETRS89";40.42208057;-3.63429709;"CALLE";"NICOLAS SALMERON";"3";"28017";;"20076608";"2004-01-01 00:00:00.0";"C1577";"AE21";"CANINAS";1
"3570070";"Zona canina";"151";"VENTAS";"15";"CIUDAD LINEAL";"OPERATIVO";"444270.406";"4474772.117";"ETRS89";40.42171318;-3.65693624;"AVENIDA";"MARQUES DE CORBERA";"2";"28017";"MARQUES DE CORBERA 2";"20104438";"2004-01-01 00:00:00.0";"C1580";"AE21";"CANINAS";1
"3570072";"Zona canina";"151";"VENTAS";"15";"CIUDAD LINEAL";"OPERATIVO";"444664.58";"4475290.634";"ETRS89";40.42641058;-3.65233516;"CALLE";"GERARDO CORDON";"46";"28017";;"31011820";"2004-01-01 00:00:00.0";"C1582";"AE21";"CANINAS";1
"3570073";"Zona canina";"159";"COSTILLARES";"15";"CIUDAD LINEAL";"OPERATIVO";"443464.878";"4480839.252";"ETRS89";40.47631457;-3.66697125;"CALLE";"GOLFO DE SALONICA";"11";"28033";"PARQUE DOCTOR FERNANDEZ CATALINA";"20134985";"2004-01-01 00:00:00.0";"C1583";"AE21";"CANINAS";12
"3570074";"Zona canina";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"445887.083";"4475781.557";"ETRS89";40.43091351;-3.63796602;"CALLE";"LUIS RUIZ";"27";"28017";;"31011818";"2004-01-01 00:00:00.0";"C1584";"AE21";"CANINAS";0
"3575532";"Zona canina";"165";"APOSTOL SANTIAGO";"16";"HORTALEZA";"OPERATIVO";"444375.23";"4480630.505";"ETRS89";40.47449555;-3.65621377;"CARRETERA";"ESTACION DE HORTALEZA";"5";"28033";;"20184086";"2004-01-01 00:00:00.0";"C1671";"AE21";"CANINAS";3
"3575533";"Zona canina";"164";"PINAR DEL REY";"16";"HORTALEZA";"OPERATIVO";"446379.264";"4480053.067";"ETRS89";40.46942549;-3.63252446;"CALLE";"MACUAJE";"5";"28033";;"11118671";"2004-01-01 00:00:00.0";"C1672";"AE21";"CANINAS";2
"3575535";"Zona canina";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"443632.933";"4482145.485";"ETRS89";40.48809312;-3.66510489;"AVENIDA";"MANOTERAS";"34";"28050";;"20040094";"2004-01-01 00:00:00.0";"C1674";"AE21";"CANINAS";6
"3575536";"Zona canina";"162";"PIOVERA";"16";"HORTALEZA";"OPERATIVO";"447089.994";"4479159.805";"ETRS89";40.46142408;-3.62406649;"CALLE";"FLORENCIO CASTILLO";"38";"28043";"DIONISIO INCA YUPANQUI";"20055118";"2004-01-01 00:00:00.0";"C1675";"AE21";"CANINAS";11
"3575538";"Zona canina";"165";"APOSTOL SANTIAGO";"16";"HORTALEZA";"OPERATIVO";"444400.269";"4480803.538";"ETRS89";40.47605599;-3.65593357;"CALLE";"MONOVAR";"2";"28033";;"20121908";"2004-01-01 00:00:00.0";"C1677";"AE21";"CANINAS";0
"3575539";"Zona canina";"164";"PINAR DEL REY";"16";"HORTALEZA";"OPERATIVO";"444876.986";"4481099.913";"ETRS89";40.47875766;-3.65033564;"CALLE";"SANTA ADELA";"14";"28033";;"31044514";"2004-01-01 00:00:00.0";"C1678";"AE21";"CANINAS";2
"3580432";"Zona canina";"206";"REJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"450108.639";"4477089.8";"ETRS89";40.44296293;-3.58830116;"CALLE";"DEYANIRA";"19";"28022";;"31020283";"2004-01-01 00:00:00.0";"C2070";"AE21";"CANINAS";0
"3580433";"Zona canina";"207";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448571.686";"4477434.11";"ETRS89";40.44597103;-3.60645129;"CALLE";"GONZALO TORRENTE BALLESTER";"4";"28022";;"31016093";"2004-01-01 00:00:00.0";"C2071";"AE21";"CANINAS";0
"3580434";"Zona canina";"207";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448501.807";"4477556.008";"ETRS89";40.44706484;-3.60728516;"CALLE";"GONZALO TORRENTE BALLESTER";"2";"28022";;"31016091";"2004-01-01 00:00:00.0";"C2072";"AE21";"CANINAS";1
"3580436";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448115.007";"4474817.498";"ETRS89";40.42237062;-3.61162261;"AVENIDA";"GUADALAJARA";"110";"28032";;"20096838";"2004-01-01 00:00:00.0";"C2074";"AE21";"CANINAS";0
"3580437";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448123.849";"4474628.127";"ETRS89";40.42066520;-3.61150294;"AVENIDA";"CANILLEJAS A VICALVARO";"90";"28032";;"20099741";"2004-01-01 00:00:00.0";"C2075";"AE21";"CANINAS";0
"3580438";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"447175.075";"4474588.405";"ETRS89";40.42024767;-3.62268293;"CALLE";"ARCOS DEL JALON";"16";"28037";;"11135550";"2004-01-01 00:00:00.0";"C2076";"AE21";"CANINAS";0
"3580439";"Zona canina";"207";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448272.94";"4477027.173";"ETRS89";40.44228657;-3.60994083;"CALLE";"CIRCE";"59";"28022";;"31011562";"2004-01-01 00:00:00.0";"C2077";"AE21";"CANINAS";5
"3580440";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"447254.342";"4474722.714";"ETRS89";40.42146263;-3.62175975;"CALLE";"ARCOS DE JALON";"13";"28037";"ARCOS DEL JALON 13";"31032028";"2016-05-01 00:00:00.0";"C2078";"AE21";"CANINAS";0
"3580441";"Zona canina";"205";"ROSAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448200.581";"4474521.551";"ETRS89";40.41970987;-3.61058981;"AVENIDA";"CANILLEJAS A VICALVARO";"167";"28032";"CANILLEJAS A VICALVARO 167";"20099671";"2016-09-01 00:00:00.0";"C2079";"AE21";"CANINAS";0
"4991235";"Zona canina";"206";"REJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"450690.881";"4477077.64";"ETRS89";40.44288812;-3.58143496;"CALLE";"NAVARIDAS";"11";"28022";;"20090546";"2014-02-11 00:00:00.0";"C2080";"AE21";"CANINAS";5
